Gads, Pilsētās, Lauku teritorijās 		
2000,1619587,762128
2001,1598189,755195
2002,1574392,746564
2003,1558956,740434
2004,1543834,732686
2005,1525199,724525
2006,1511620,716254
2007,1500111,708729
2008,1489118,702692
2009,1468544,694290
2010,1438597,681907
2011,1406752,662708
2013,1366325,657500
2014,1357682,643786
2015,1348855,637241
2016,1339727,629230
2017,1332546,617570
2018,1324704,609675
2019,1315177,604791
2020,1296883,610792
2021,1290233,602990
2022,1274586,601171
2023,1323208,572031
2024,1310497,568078
2025,1297260,563305